osm_id,destination,category,name,lat,lon,tourism,amenity,historic,leisure,railway,stars,cuisine,website,opening_hours
3992434726,Extremadura,food_beverage,Sociedad Cultural Cinegética,38.7757473,-4.8361928,,bar,,,,,,,
3992434727,Extremadura,food_beverage,Delicias,38.7755101,-4.8366581,,bar,,,,,,,
3992434733,Extremadura,food_beverage,La Cabaña,38.7752988,-4.8345867,,bar,,,,,,,
3992434744,Extremadura,food_beverage,Paddy O'Hara Irish Tavern,38.7754077,-4.834435,,bar,,,,,,,
3994045761,Extremadura,food_beverage,Mesón El Cruce,38.7957235,-4.8603319,,restaurant,,,,,,,
3994391851,Extremadura,food_beverage,Pizzeria Almadén,38.7753777,-4.8308362,,fast_food,,,,,pizza,,
3994391852,Extremadura,food_beverage,Mesón Almadén,38.7753688,-4.8304965,,restaurant,,,,,,,
4003981318,Extremadura,food_beverage,Truk,40.0873898,-6.3527793,,bar,,,,,,,
4022841333,Extremadura,food_beverage,Bar El Cine,39.7594606,-4.9499968,,restaurant,,,,,,,
4022842803,Extremadura,food_beverage,El Lagar,39.761856,-4.9476352,,bar,,,,,,,
4022867989,Extremadura,food_beverage,Garnache,39.7594137,-4.9493128,,bar,,,,,,,
4085057590,Extremadura,food_beverage,Nuevo Milenio,39.7595665,-4.949766,,bar,,,,,,,
4085057591,Extremadura,food_beverage,Melenas,39.7552299,-4.948104,,bar,,,,,,,
4192001152,Extremadura,food_beverage,Meson Extremeño,39.4519917,-5.3275962,,restaurant,,,,,,,
4192027688,Extremadura,food_beverage,Mesón Cerezo,39.4517561,-5.3277354,,restaurant,,,,,,,
4192028189,Extremadura,food_beverage,Mesón Altamira,39.4515722,-5.3277172,,restaurant,,,,,,,
4192028192,Extremadura,food_beverage,Guadalupe,39.4515292,-5.327749,,restaurant,,,,,,,
4192127754,Extremadura,food_beverage,Churrería Asador El Abuelo,39.4513265,-5.3270151,,restaurant,,,,,regional,,
4193413528,Extremadura,food_beverage,El Mesón de Juan José,39.4516981,-5.3276111,,restaurant,,,,,,,
4193808966,Extremadura,food_beverage,Las Ánimas del Tiempo,39.4532062,-5.3285251,,restaurant,,,,,spanish,https://www.lasanimasdeltiempo.com/,
4193808967,Extremadura,food_beverage,Casamalia,39.453103,-5.3285026,,bar,,,,,,,
4193808968,Extremadura,food_beverage,El Duende,39.4533392,-5.3285162,,bar,,,,,,,
4193808970,Extremadura,food_beverage,La Notte,39.4534408,-5.3288556,,bar,,,,,,,
4195062151,Extremadura,food_beverage,El Fresno,39.3800512,-5.388575,,bar,,,,,,,
4195062156,Extremadura,food_beverage,Solano,39.3801313,-5.388774,,bar,,,,,,,
4195075912,Extremadura,food_beverage,Tap's,39.3811361,-5.3888067,,bar,,,,,,,
4195075914,Extremadura,food_beverage,Morano,39.3809079,-5.3884255,,cafe,,,,,,,
4195075917,Extremadura,food_beverage,Ximenez,39.3812066,-5.3888385,,restaurant,,,,,,,
4195078417,Extremadura,food_beverage,Café Vaiven,39.381417,-5.3888317,,cafe,,,,,,,
4195256648,Extremadura,food_beverage,El Brezo Rojo,39.4371943,-5.4609661,,restaurant,,,,,,,
4195340412,Extremadura,food_beverage,El Rincón de Maris,39.437108,-5.4602214,,bar,,,,,,,
4195340415,Extremadura,food_beverage,Los Álamos,39.4372732,-5.4602769,,bar,,,,,,,
4196923881,Extremadura,food_beverage,Altamirano,39.0029463,-5.5446865,,restaurant,,,,,,,
4229624964,Extremadura,food_beverage,Unknown,39.7063071,-6.3584972,,bar,,,,,,,
4229625059,Extremadura,food_beverage,El Bigotes Churrero,39.7061867,-6.3585608,,bar,,,,,,,
4233909298,Extremadura,food_beverage,Churrería J. Carlos (Montesol),39.4839008,-6.3676555,,fast_food,,,,,churro,,
4233909302,Extremadura,food_beverage,"Bar ""La Tertulia""",39.4848524,-6.3670881,,bar,,,,,,,
4233909307,Extremadura,food_beverage,Café - Bar Moreno,39.4850817,-6.3668506,,bar,,,,,,,
260265608,Extremadura,attraction,Molinos del Conde,39.790132,-5.2141529,,,ruins,,,,,,
323968884,Extremadura,attraction,Museo Vostell Malpartida,39.4221029,-6.5043703,museum,,,,,,,http://museovostell.org,
370604589,Extremadura,attraction,Mirador La Báscula,39.8338912,-5.9773525,viewpoint,,,,,,,,
370604590,Extremadura,attraction,Mirador La Higuerilla,39.8411877,-5.9658471,viewpoint,,,,,,,,
370604592,Extremadura,attraction,Mirador Portilla del Tiétar,39.8568644,-5.9598959,viewpoint,,,,,,,,
371738120,Extremadura,attraction,Salto del Gitano,39.8276745,-6.0576827,viewpoint,,,,,,,,
371738124,Extremadura,attraction,Salto del Gitano,39.8285612,-6.0578881,viewpoint,,,,,,,,
411901246,Extremadura,attraction,Mirador del Puerto de la Serrana,39.8716287,-6.0471022,viewpoint,,,,,,,,
411901247,Extremadura,attraction,Mirador del Puente del Cardenal,39.8364451,-6.0281285,viewpoint,,,,,,,,
412472821,Extremadura,attraction,Mirador del Risco de Sierra de Fuentes,39.4301708,-6.2863861,viewpoint,,,,,,,,
418660808,Extremadura,attraction,Cueva de Maltravieso,39.4574702,-6.3708564,,,archaeological_site,,,,,https://maltravieso.rupestre.org/,
418660915,Extremadura,attraction,Cueva de Santa Ana,39.4267099,-6.3687463,,,archaeological_site,,,,,https://iphes.urv.cat/eppex/documents/00/es/gral/content/inici/03_yacimientos/03_Santa_Ana.html,
419385562,Extremadura,attraction,Arco de la Estrella,39.4749082,-6.3709808,,,monument,,,,,,
419550108,Extremadura,attraction,Puente río Casillas,39.4655659,-6.5489419,,,archaeological_site,,,,,,
420264252,Extremadura,attraction,Yacimiento arqueológico de El Millar,39.4345577,-6.4403774,,,archaeological_site,,,,,,
434347726,Extremadura,attraction,Puente Mocha,39.3669042,-6.3463129,,,archaeological_site,,,,,,
446174146,Extremadura,attraction,Busto de Francisco Paniagua,39.4634158,-6.3526154,artwork,,,,,,,,
446174180,Extremadura,attraction,Sagrado Corazón de Jesús,39.4625408,-6.3515539,,,monument,,,,,https://caceresaldetalle.blogspot.com/2020/02/el-sagrado-corazon-de-la-montana-al.html,
456979507,Extremadura,attraction,Cerro Gimio,39.8414763,-6.0538587,viewpoint,,,,,,,,
457506885,Extremadura,attraction,Mirador de la Mala Vuelta,39.8370528,-5.9893658,viewpoint,,,,,,,,
457506887,Extremadura,attraction,Mirador de la Tajadilla,39.837951,-5.9928134,viewpoint,,,,,,,,
498374422,Extremadura,attraction,Pinturas rupestres,39.8278013,-6.0519854,,,archaeological_site,,,,,,
529855365,Extremadura,attraction,Puente de Piedra,39.847782,-6.045077,viewpoint,,,,,,,,
554989557,Extremadura,attraction,Mirador de la Garganta,39.8281116,-6.1017912,viewpoint,,,,,,,,
558627062,Extremadura,attraction,PN Cabañeros Area Paisajística Norte,39.6051055,-4.6720003,viewpoint,,,,,,,,
614857011,Extremadura,attraction,Mirador de Puerto Peña,39.1399916,-5.1841466,viewpoint,,,,,,,,
643082119,Extremadura,attraction,Castillo de Coria,39.9845263,-6.536572,,,castle,,,,,,
660013832,Extremadura,attraction,Castro de Morros de la Novillada,39.6885869,-6.952528,,,archaeological_site,,,,,,
725027731,Extremadura,attraction,Menhir del Cabezo,39.7561204,-6.9167006,,,archaeological_site,,,,,,
725032460,Extremadura,attraction,Humilladero,39.7398158,-6.9288404,,,monument,,,,,,
777365164,Extremadura,attraction,Casa del Sol,39.4734579,-6.3709231,,,monument,,,,,,
777365169,Extremadura,attraction,Palacio de la Generala,39.4740803,-6.3715995,,,monument,,,,,,
777365179,Extremadura,attraction,Palacio de los Golfines de Arriba,39.4733581,-6.3717932,,,monument,,,,,,
777365185,Extremadura,attraction,Casa de los Ovando-Saavedra,39.4738277,-6.3725891,,,castle,,,,,,
777398841,Extremadura,attraction,Museo Árabe de Yusuf al Burch,39.4737141,-6.3695882,museum,,,,,,,https://casamuseoarabe.com/,
777400215,Extremadura,attraction,Palacio del Duque de Abrantes,39.4760562,-6.370834,,,castle,,,,,,
784439662,Extremadura,attraction,Fuente del Pilar,39.7169051,-6.8806209,,,monument,,,,,,
828831323,Extremadura,attraction,Unknown,39.4612949,-5.8855266,viewpoint,,,,,,,,
941560625,Extremadura,attraction,Castillo de Magacela,38.8957977,-5.7384044,,,castle,,,,,,
941771447,Extremadura,attraction,Pinturas Rupestres,38.9045098,-5.7526856,,,archaeological_site,,,,,,
945011534,Extremadura,attraction,Castillo de La Encomienda,39.0237036,-5.7718342,,,castle,,,,,,
945188892,Extremadura,attraction,Castillo de Capilla,38.8208141,-5.0855287,,,castle,,,,,,
945712820,Extremadura,attraction,Palacio de Moret,38.705452,-4.8945343,attraction,,,,,,,,
1027985135,Extremadura,attraction,Museo del Arte Visigodo,38.9170562,-6.3467238,museum,,,,,,,https://turismomerida.org/que-ver/coleccion-visigoda/,"Oct-Mar: Tu-Sa 09:45-18:15; Apr-Sep: Tu-Sa 09:45-19:45; Apr-Sep: PH,Su 10:15-14:45"
1084643350,Extremadura,attraction,Torre de Belvis,39.6346899,-6.8044269,,,ruins,,,,,,
1090241062,Extremadura,attraction,Torre del Oro,39.7232806,-6.8934775,,,castle,,,,,,
1118841109,Extremadura,attraction,Alcazaba de Badajoz,38.883167,-6.9685755,attraction,,castle,,,,,,
1119240615,Extremadura,attraction,Cruz del Jubileo (S. XVII),38.8821076,-6.9694255,,,memorial,,,,,,
1119241434,Extremadura,attraction,Monumento a Zurbarán,38.8779291,-6.9672271,,,memorial,,,,,,
1119242499,Extremadura,attraction,Plaza de la Soledad,38.880561,-6.9707265,,,memorial,,,,,,
1119544813,Extremadura,attraction,Ermita de la Soledad,38.8781411,-6.9779687,,,memorial,,,,,,
1120378368,Extremadura,attraction,Unknown,38.8780141,-6.9767606,artwork,,,,,,,,
1121477631,Extremadura,attraction,Rosa Solar,38.8754113,-6.9692885,artwork,,,,,,,,
1122118751,Extremadura,attraction,Memoria a las víctimas de la riada,38.8780686,-6.9634757,artwork,,,,,,,,
1122119752,Extremadura,attraction,Escultura de los Tres Poetas,38.8832057,-6.9729724,artwork,,,,,,,,
1122120851,Extremadura,attraction,Unknown,38.8772883,-6.964677,artwork,,,,,,,,
1122121154,Extremadura,attraction,Unknown,38.8773452,-6.9644843,artwork,,,,,,,,
1122124002,Extremadura,attraction,Unknown,38.8773156,-6.9645256,artwork,,,,,,,,
1156515354,Extremadura,attraction,Unknown,39.7213212,-6.8901358,viewpoint,,,,,,,,
1161376298,Extremadura,attraction,Unknown,38.9366501,-5.8639753,viewpoint,,,,,,,,
1162072042,Extremadura,attraction,Palacio de los Altamiranos,39.0044479,-5.5335007,,,monument,,,,,,
1241672828,Extremadura,attraction,Unknown,39.7973318,-5.1984384,,,ruins,,,,,,
1251993925,Extremadura,attraction,"Escudo Casa noble de ""Los Calderas""",38.8776894,-6.9652174,,,monument,,,,,,
1347391431,Extremadura,attraction,Paraje de Las Ollas,40.100222,-5.7142852,attraction,,,,,,,,
1364967908,Extremadura,attraction,Unknown,38.916474,-6.3436335,,,archaeological_site,,,,,,
1404363143,Extremadura,attraction,Museo Santa Maria,39.474966,-6.3704126,museum,,,,,,,,
1412985697,Extremadura,attraction,Mirador ancho la Estrella,40.0615662,-5.9291131,viewpoint,,,,,,,,
1454742955,Extremadura,attraction,Castelo de Penha Garcia,40.0431279,-7.0157907,,,castle,,,,,,
1479094264,Extremadura,attraction,Peña Carnicera,39.73764,-6.7984568,,,archaeological_site,,,,,,
1586913292,Extremadura,attraction,Unknown,39.6145378,-6.4059309,viewpoint,,,,,,,,
1594869388,Extremadura,attraction,Ermita del Calvario y Nuestra Señora de Fátima,39.1756183,-6.2297453,,place_of_worship,monument,,,,,,
1692549352,Extremadura,attraction,Castelo de Ouguela,39.0789148,-7.0309841,,,castle,,,,,,
1763180377,Extremadura,attraction,Centro de interpretación de la Mina Pastora,39.4141109,-6.6957261,museum,,,,,,,,
1763631382,Extremadura,attraction,Centro de Interpretacion del Tesoro de Aliseda,39.4240339,-6.6932371,museum,,,,,,,,"Tu,We 10:00-12:00; Th 11:30-13:00; Fr 10:00-12:00,16:30-18:00; Sa 12:00-13:30,16:30-18:00; Su 11:30-13:30"
1763652864,Extremadura,attraction,Fuente del Castaño,39.4179173,-6.6874193,,,monument,,,,,,
1763652869,Extremadura,attraction,Tumbas de los Moros,39.423605,-6.7131309,,,archaeological_site,,,,,,
1763652870,Extremadura,attraction,Molino harinero,39.4195429,-6.6873248,,,monument,,,,,,
1763652875,Extremadura,attraction,Ruina de los Barracones,39.4138144,-6.6936956,,,ruins,,,,,,
1763652876,Extremadura,attraction,Fuente del Cura,39.4209259,-6.6875024,,,monument,,,,,,
1763652880,Extremadura,attraction,Fuente Nueva,39.4237252,-6.6883688,,,monument,,,,,,
1843666461,Extremadura,attraction,Minas del Arca del Agua,39.4621194,-5.3692719,,,monument,,,,,,
1853332501,Extremadura,attraction,Puerta de Almadén,38.7400338,-4.7168355,,,monument,,,,,,
1860876563,Extremadura,attraction,Estación abandonada de Santa Quiteria,39.4903869,-5.0307314,,,ruins,,,,,,
1890809150,Extremadura,attraction,Ruinas de El Castillo,39.3760999,-5.380332,,,ruins,,,,,,
1894478596,Extremadura,attraction,Unknown,39.3690434,-5.3725842,viewpoint,,,,,,,,
