poi_id,name,destination,region,destination_type,capacity_index,category,asset_type,lat,lon,stars,cuisine,website
984621860,Cova de ses Bruixes,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.9003127,2.9229229,,,
987682556,Cova de ses Bruixes,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.9005021,2.9223203,,,
999281809,plane spotting,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.559462,2.7693906,,,
1066553015,Museu Monogràfic de Pol·lèntia,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.8518475,3.12032,,,
1080542411,"es Racó de Gaspar Bennàssar, ""s'Arquitecte""",Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5758417,2.6533916,,,
1089040705,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7283237,2.6861174,,,
1107334462,Casal de Cultura,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7665559,2.7136067,,,
1112862362,Sa Bassa Blanca (Fundació Yannick y Ben Jakober),Mallorca,Islas Baleares,island,88,attraction,Atracción,39.842964,3.1787652,,,https://msbb.org
1116952584,Unknown,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7451453,2.6968535,,,
1120205378,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7382759,3.3074039,,,
1127572425,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.6234858,2.4238996,,,
1129339488,Son Real,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7370278,3.182411,,,
1129379432,poblat pretalaiòtic des Figueral,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7334494,3.1856499,,,
1135394151,Mirador dels Tudons,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7359792,2.6163072,,,
1135394159,mirador de Son Gallard,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7341717,2.6241417,,,
1141912785,Robert Graves,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7533227,2.6473984,,,http://www.lacasaderobertgraves.org
1142642172,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5335793,3.3372128,,,
